epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,379.177,0.69485,1.49365,1.22607,0.74448,0.70626,0.78769,0.63431,0.79838,1.01277,1.5277,0.0670212,0.000333119,0.000333119
2,725.871,0.59342,0.99061,1.14343,0.77287,0.90677,0.90557,0.80778,0.47915,0.53704,1.14772,0.034021,0.00066629,0.00066629
3,1068.34,0.54013,0.86552,1.10611,0.90048,0.89637,0.91808,0.81644,0.51334,0.38702,1.20421,0.0010202,0.000998809,0.000998809
4,1410.57,0.50404,0.7989,1.08118,0.89954,0.9583,0.9298,0.87287,0.37456,0.30016,1.01919,0.000997803,0.000997803,0.000997803
5,1752.73,0.4734,0.7552,1.06281,0.9054,0.95456,0.93921,0.88631,0.35271,0.2792,1.00233,0.000996097,0.000996097,0.000996097
6,2099.82,0.45377,0.71621,1.05359,0.89255,0.95889,0.94015,0.89413,0.35039,2.25307,0.99535,0.000993906,0.000993906,0.000993906
7,2441.75,0.43469,0.69266,1.042,0.92536,0.96635,0.96934,0.92012,0.334,0.24427,0.98127,0.000991232,0.000991232,0.000991232
8,2783.37,0.42369,0.67272,1.03706,0.91014,0.9642,0.953,0.90989,0.32933,0.24364,0.97401,0.000988079,0.000988079,0.000988079
9,3154.8,0.40971,0.6442,1.03292,0.94933,0.96342,0.9738,0.93111,0.32132,0.21772,0.96625,0.000984449,0.000984449,0.000984449
10,3575.45,0.40381,0.63471,1.02965,0.96176,0.96205,0.97621,0.93755,0.3152,0.20449,0.95793,0.000980345,0.000980345,0.000980345
11,3987.41,0.39635,0.62029,1.02726,0.96756,0.97219,0.98303,0.94646,0.31466,0.20714,0.96583,0.000975773,0.000975773,0.000975773
12,4398.98,0.38687,0.60835,1.02367,0.96305,0.97644,0.9867,0.94982,0.31066,0.18878,0.95781,0.000970736,0.000970736,0.000970736
13,4815.42,0.37904,0.59715,1.02078,0.96304,0.97208,0.98212,0.94793,0.30268,0.19657,0.95899,0.000965239,0.000965239,0.000965239
14,5248.98,0.37739,0.57869,1.01916,0.97886,0.98059,0.99018,0.95641,0.30734,0.17899,0.95172,0.000959289,0.000959289,0.000959289
15,5622.07,0.36966,0.5697,1.01734,0.98526,0.97999,0.99095,0.95969,0.29953,0.17251,0.94801,0.000952889,0.000952889,0.000952889
16,6020.14,0.36843,0.56301,1.01654,0.98695,0.98386,0.99159,0.96107,0.2967,0.17088,0.94524,0.000946048,0.000946048,0.000946048
17,6409.56,0.36344,0.55118,1.01356,0.98693,0.98309,0.99313,0.96373,0.2943,0.16277,0.94234,0.000938772,0.000938772,0.000938772
18,6785,0.35945,0.54361,1.01255,0.98455,0.99243,0.99425,0.96636,0.29607,0.1603,0.93948,0.000931067,0.000931067,0.000931067
19,7198.07,0.35468,0.53235,1.01112,0.98754,0.99235,0.99414,0.96622,0.29628,0.15945,0.93928,0.000922942,0.000922942,0.000922942
20,7588.25,0.35063,0.52699,1.0094,0.98929,0.99478,0.9943,0.96659,0.29392,0.15785,0.94016,0.000914405,0.000914405,0.000914405
21,7974.71,0.34523,0.51702,1.0076,0.9928,0.99356,0.9947,0.96742,0.29082,0.1554,0.94109,0.000905463,0.000905463,0.000905463
22,8358.37,0.34674,0.50798,1.00779,0.99142,0.99433,0.99465,0.96759,0.29,0.15661,0.93918,0.000896127,0.000896127,0.000896127
23,8726.09,0.34296,0.50966,1.00657,0.9908,0.99692,0.99461,0.96855,0.28837,0.15487,0.93905,0.000886404,0.000886404,0.000886404
24,9117.3,0.33888,0.49751,1.00444,0.99279,0.99752,0.9947,0.96892,0.28947,0.15362,0.93912,0.000876305,0.000876305,0.000876305
25,9502.91,0.33733,0.49226,1.00387,0.99352,0.99722,0.99477,0.96897,0.28905,0.15238,0.9383,0.000865839,0.000865839,0.000865839
26,9899.43,0.33316,0.48247,1.00192,0.99419,0.99689,0.99476,0.96925,0.28849,0.15063,0.93644,0.000855018,0.000855018,0.000855018
27,10286,0.33288,0.47714,1.00209,0.99413,0.99806,0.99481,0.96933,0.2873,0.14905,0.93511,0.000843851,0.000843851,0.000843851
28,10697.9,0.32726,0.46994,0.99902,0.99463,0.99717,0.99476,0.9692,0.2853,0.14758,0.93566,0.000832349,0.000832349,0.000832349
29,11135.7,0.32646,0.46349,0.99929,0.99594,0.99703,0.99472,0.96965,0.28448,0.14701,0.93546,0.000820525,0.000820525,0.000820525
30,11537,0.32354,0.4566,0.99805,0.99583,0.99801,0.99469,0.96977,0.28464,0.14675,0.93544,0.000808389,0.000808389,0.000808389
31,11945.2,0.3227,0.45221,0.9987,0.9961,0.99793,0.99471,0.97023,0.28369,0.14617,0.93474,0.000795954,0.000795954,0.000795954
32,12356,0.32312,0.44992,0.99813,0.99625,0.99822,0.99474,0.97034,0.28299,0.14532,0.93436,0.000783231,0.000783231,0.000783231
33,12766.7,0.31956,0.44597,0.99712,0.99583,0.99848,0.99479,0.97079,0.28242,0.14509,0.93391,0.000770234,0.000770234,0.000770234
34,13148.5,0.31678,0.43816,0.99601,0.99572,0.99849,0.99485,0.97079,0.28177,0.14434,0.93348,0.000756976,0.000756976,0.000756976
35,13563,0.31395,0.43761,0.99373,0.99585,0.99854,0.99485,0.97103,0.28104,0.14401,0.93333,0.000743468,0.000743468,0.000743468
36,13997.5,0.31385,0.42649,0.99513,0.99575,0.99864,0.99486,0.97077,0.2807,0.14364,0.93315,0.000729725,0.000729725,0.000729725
37,14412.4,0.31422,0.42488,0.99541,0.99612,0.99826,0.99485,0.97106,0.28055,0.14374,0.93303,0.000715761,0.000715761,0.000715761
38,14834.1,0.30955,0.42192,0.99465,0.99687,0.99787,0.99486,0.97128,0.28015,0.14345,0.93266,0.000701588,0.000701588,0.000701588
39,15255.5,0.30957,0.42072,0.9941,0.99731,0.99781,0.99486,0.97187,0.28,0.14321,0.93242,0.000687222,0.000687222,0.000687222
40,15670.9,0.30931,0.41641,0.99419,0.99676,0.99803,0.99488,0.97186,0.27967,0.14288,0.93222,0.000672675,0.000672675,0.000672675
41,16085.9,0.30661,0.4118,0.99114,0.9968,0.99849,0.9949,0.972,0.27947,0.14279,0.93209,0.000657963,0.000657963,0.000657963
42,16494,0.30363,0.40391,0.99084,0.99684,0.99854,0.9949,0.97177,0.27941,0.14309,0.93201,0.000643101,0.000643101,0.000643101
43,16905,0.3011,0.39843,0.9902,0.99698,0.9987,0.99491,0.97179,0.27928,0.14321,0.93179,0.000628101,0.000628101,0.000628101
44,17317.9,0.30014,0.39573,0.9901,0.9971,0.9987,0.99491,0.97205,0.27913,0.14334,0.93159,0.000612981,0.000612981,0.000612981
